code,last traded price,open,previous close,percent change,high,low,52 week high,52 week low,board lot,par value,market capitalization,outstanding shares,listed shares,issued shares
SPM,,,1.72,,,,2.79,0.0000,"1,000",1.00,"280,360,000.00","163,000,000","163,000,000","163,000,000"
SPNEC,1.23,1.22,1.22,0.82,1.24,1.20,2.34,0.99,"1,000",0.1,"12,200,000,000.00","10,000,000,000","9,415,315,601","10,000,000,000"
SRDC,,,0.000,,,,,,"1,000",1.00,0.00,"110,000,000","110,000,000","110,000,000"
SSI,1.53,1.50,1.55,1.29,1.53,1.50,1.64,1.00,"1,000",1.00,"5,112,533,066.50","3,298,408,430","3,312,864,430","3,312,864,430"
SSP,1.38,1.44,1.40,1.43,1.45,1.38,1.75,0.92,"1,000",1.00,"2,984,569,155.40","2,131,835,111","2,165,024,111","2,165,024,111"
STI,0.340,0.345,0.345,1.45,0.345,0.340,0.375,0.310,"10,000",0.5,"3,417,158,388.78","9,904,806,924","9,904,806,924","9,904,806,924"
STN,,,0.250,,,,,,"10,000",1.00,"354,703,020.25","1,418,812,081","876,182,045","1,418,812,081"
STR,2.99,2.81,3.09,3.24,2.99,2.81,5.40,0.0000,"1,000",1.00,"26,036,281,772.04","8,425,981,156","8,425,981,156","8,425,981,156"
SUN,,,0.96,,,,1.15,0.0000,"1,000",1.00,"6,960,000,000.00","7,250,000,000","2,000,000,000","7,250,000,000"
T,0.55,0.53,0.55,0.00,0.55,0.51,0.97,0.51,"1,000",1.00,"517,000,000.00","940,000,000","940,000,000","940,000,000"
TBGI,0.220,0.223,0.222,0.90,0.223,0.220,0.435,0.202,"10,000",0.1,"842,628,084.00","3,795,622,000","3,800,000,000","3,800,000,000"
TECH,2.79,2.77,2.80,0.36,2.80,2.74,4.16,2.23,"1,000",1.00,"1,871,816,310.00","668,505,825","668,505,825","668,505,825"
TEL,"1,230.00","1,249.00","1,249.00",1.52,"1,250.00","1,221.00","1,984.00","1,130.00",5,5.00,"269,853,662,975.00","216,055,775","233,926,212","218,779,886"
TFC,,,43.25,,,,56.45,0.0000,100,1.00,"1,513,750,000.00","35,000,000","35,000,000","35,000,000"
TFHI,95.50,95.50,95.50,0.00,96.00,95.50,128.90,0.0000,10,1.00,"31,790,628,948.50","332,886,167","490,196,200","490,196,200"
TUGS,0.94,0.92,0.91,3.30,0.94,0.90,1.38,0.62,"1,000",1.00,"814,074,051.70","894,586,870","907,857,870","907,857,870"
UBP,81.60,81.50,81.10,0.62,81.60,81.20,118.10,68.00,10,10.00,"173,724,858,560.40","2,142,106,764","2,139,637,108","2,142,106,764"
UNI,,,0.246,,,,0.246,0.246,"10,000",1.00,"391,031,754.34","1,589,559,977","332,150,000","332,150,000"
UPM,0.0054,0.0054,0.0054,0.00,0.0054,0.0054,0.0086,0.0051,"1,000,000",0.01,"1,411,099,904.23","261,314,797,080","261,314,797,080","261,314,797,080"
URC,137.60,137.00,137.40,0.15,138.00,135.60,138.70,93.25,10,1.00,"299,326,946,713.20","2,178,507,618","2,227,638,933","2,230,160,190"
V,,,0.74,,,,0.90,0.0000,"1,000",1.00,"3,107,690,876.84","4,199,582,266","4,335,181,766","4,335,181,766"
VITA,0.59,0.58,0.58,1.72,0.59,0.58,0.74,0.50,"1,000",0.38,"1,771,513,728.12","3,054,334,014","3,054,334,014","3,054,334,014"
VLL,1.47,1.50,1.49,1.34,1.50,1.47,3.55,1.39,"1,000",1.00,"18,920,031,437.24","12,698,007,676","13,114,136,376","13,114,136,376"
VMC,2.68,2.68,2.56,4.69,2.68,2.68,3.10,0.0000,"1,000",1.00,"7,019,649,443.84","2,742,050,564","3,038,747,677","3,042,061,094"
VREIT,1.60,1.60,1.63,1.84,1.63,1.60,1.77,1.47,"1,000",1.00,"12,225,000,000.00","7,500,000,000","7,500,000,000","7,500,000,000"
VUL,0.83,0.84,0.84,1.19,0.85,0.83,1.48,0.76,"1,000",1.00,"1,218,000,000.00","1,450,000,000","963,944,338","963,944,338"
VVT,,,12.82,,,,18.48,0.0000,100,1.00,"13,120,714,868.36","1,023,456,698","1,023,456,698","1,023,456,698"
WEB,2.60,2.56,2.56,1.56,2.61,2.53,6.15,1.80,"1,000",1.00,"3,675,588,300.80","1,435,776,680","1,517,157,618","1,517,157,618"
WIN,,,0.230,,,,0.310,0.0000,"10,000",1.00,"752,545,781.40","3,271,938,180","3,276,045,637","3,271,938,180"
WLCON,29.20,29.60,30.00,2.67,29.65,29.00,33.40,21.05,100,1.00,"122,991,723,480.00","4,099,724,116","4,099,724,116","4,099,724,116"
WPI,,,0.440,,,,0.60,0.410,"10,000",1.00,"1,099,556,371.32","2,498,991,753","2,498,991,753","2,498,991,753"
X,0.260,0.260,0.246,5.69,0.260,0.260,0.57,0.246,"10,000",0.1,"505,435,304.51","2,054,615,059","1,797,700,660","2,116,744,034"
ZHI,,,0.130,,,,0.186,0.0000,"10,000",1.00,"355,815,824.91","2,737,044,807","2,733,463,907","2,737,044,807"
